epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04218,1.49538,9.37018,1.16542,0.00037,1,0.01292,0.00905,0.82855,11.9357,1.2059,0,0,0
2,8.35361,1.57984,9.45055,1.78624,0.00037,1,0.01777,0.01244,0.72149,11.426,1.14557,1.934e-05,1.934e-05,1.934e-05
3,14.8685,1.49358,15.7912,1.59725,0.00037,1,0.03685,0.02948,0.58814,10.6273,1.03201,3.736e-05,3.736e-05,3.736e-05
4,21.5921,0.99046,8.91863,1.10979,0.00037,1,0.07654,0.06888,0.4344,10.6923,0.95233,5.406e-05,5.406e-05,5.406e-05
5,26.0942,0.55569,5.0892,0.96447,0.00037,1,0.14214,0.12793,0.44367,10.8218,0.88706,6.944e-05,6.944e-05,6.944e-05
6,29.8692,1.15651,6.81655,1.1966,0.00037,1,0.33167,0.2985,0.46106,10.9531,0.90125,8.35e-05,8.35e-05,8.35e-05
7,33.6751,1.02365,5.4772,1.2797,0.00037,1,0.24875,0.199,0.60999,10.5421,0.92784,9.624e-05,9.624e-05,9.624e-05
8,37.6535,0.68826,7.10322,0.75824,0.00037,1,0.33167,0.26533,0.5879,11.1944,0.93798,0.00010766,0.00010766,0.00010766
9,41.4967,0.57053,7.28973,1.1262,0.00037,1,0.4975,0.44775,0.56073,11.418,0.91098,0.00011776,0.00011776,0.00011776
10,45.4536,0.53847,5.10951,0.9164,0.00037,1,0.995,0.8955,0.39789,10.679,0.841,0.00012654,0.00012654,0.00012654
11,56.8812,1.07099,4.56035,1.15912,0.00037,1,0.995,0.995,0.22112,9.90333,0.7811,0.000134,0.000134,0.000134
12,61.1422,0.92639,4.5972,1.00601,0.00037,1,0.995,0.995,0.26695,10.1247,0.74247,0.00014014,0.00014014,0.00014014
13,65.1308,0,67.5358,0,0.00037,1,0.995,0.8955,0.34093,10.1211,0.76771,0.00014496,0.00014496,0.00014496
14,69.3545,1.03625,7.11017,1.13494,0.00037,1,0.995,0.8955,0.49377,10.3415,0.83261,0.00014846,0.00014846,0.00014846
15,74.4135,0.59931,13.7167,1.01333,0.00037,1,0.995,0.8955,0.56537,10.563,0.87895,0.00015064,0.00015064,0.00015064
16,80.9507,0.98757,6.52298,1.20505,0.00037,1,0.995,0.8955,0.57078,10.6119,0.89566,0.0001515,0.0001515,0.0001515
17,88.0768,1.60353,13.954,1.79083,0.00037,1,0.995,0.8955,0.55083,10.557,0.90415,0.00015104,0.00015104,0.00015104
18,94.4785,0,64.7733,0,0.00037,1,0.995,0.8955,0.55083,10.557,0.90415,0.00014926,0.00014926,0.00014926
19,101.279,0.71947,7.35779,1.06653,0.00037,1,0.995,0.8955,0.52045,10.5061,0.90234,0.00014616,0.00014616,0.00014616
20,107.926,0.66561,7.02026,0.89404,0.00037,1,0.995,0.8955,0.52045,10.5061,0.90234,0.00014174,0.00014174,0.00014174
21,114.732,0.50575,10.2081,1.19286,0.00037,1,0.995,0.8955,0.40782,10.8357,0.84479,0.000136,0.000136,0.000136
22,121.592,0.46565,10.0234,1.0086,0.00037,1,0.995,0.8955,0.40782,10.8357,0.84479,0.00012894,0.00012894,0.00012894
23,126.524,0.48266,11.5961,0.60611,0.00037,1,0.995,0.8955,0.35615,10.5747,0.80887,0.00012056,0.00012056,0.00012056
24,133.169,0.48458,11.0908,0.86477,0.00037,1,0.995,0.8955,0.35615,10.5747,0.80887,0.00011086,0.00011086,0.00011086
25,139.744,0.45737,12.0058,1.06669,0.00037,1,0.995,0.8955,0.33973,10.0448,0.79288,9.984e-05,9.984e-05,9.984e-05
26,146.475,0.505,10.9207,0.85635,0.00037,1,0.995,0.8955,0.33973,10.0448,0.79288,8.75e-05,8.75e-05,8.75e-05
27,153.316,0.29888,10.3668,0.53636,0.00037,1,0.995,0.8955,0.34364,10.0483,0.7944,7.384e-05,7.384e-05,7.384e-05
28,159.281,1.18599,11.064,1.0884,0.00037,1,0.995,0.8955,0.34364,10.0483,0.7944,5.886e-05,5.886e-05,5.886e-05
29,163.246,0.78904,11.9948,1.19899,0.00037,1,0.995,0.8955,0.34232,10.0657,0.78541,4.256e-05,4.256e-05,4.256e-05
30,167.301,0.53997,11.2505,0.72646,0.00037,1,0.995,0.8955,0.34232,10.0657,0.78541,2.494e-05,2.494e-05,2.494e-05
